kind	path	command_or_target	role	mutation_risk	evidence	notes
api_startup_task	program_code/exchange_connectors/bybit_connector/control_api_v1/app/ai_service.py	create_ai_service_listener(); listener.start()	AIServiceListener	ipc_service	main.py create_task and app.state refs	
api_startup_task	program_code/exchange_connectors/bybit_connector/control_api_v1/app/edge_estimator_scheduler.py	start_scheduler() at API startup	EdgeEstimatorScheduler	scheduled_db_or_file_writer	leader-elected worker only	
api_startup_task	program_code/exchange_connectors/bybit_connector/control_api_v1/app/evolution_auto_scheduler.py	start_scheduler() at API startup	EvolutionScheduler	scheduled_state_or_db_touch	main.py imports evolution_auto_scheduler.start_scheduler	
api_startup_task	program_code/exchange_connectors/bybit_connector/control_api_v1/app/main.py	startup auto-seed from TruthSourceRegistry	ExperimentLedger auto-seed	db_mutating	get_experiment_ledger().auto_seed_from_claims	
api_startup_task	program_code/exchange_connectors/bybit_connector/control_api_v1/app/paper_trading_wiring.py	asyncio.create_task(...reconciler_alert_monitor())	reconciler_alert_monitor	monitoring_or_alerting	main.py create_task	
docker_service	docker_projects/monitoring_services/docker-compose.yml	grafana	Docker Compose service: grafana	service_or_observer	line 2: service grafana	compose services section
docker_service	docker_projects/trading_services/docker-compose.yml	audit_logger	Docker Compose service: audit_logger	service_or_observer	line 44: service audit_logger	compose services section
docker_service	docker_projects/trading_services/docker-compose.yml	binance_connector	Docker Compose service: binance_connector	service_or_observer	line 16: service binance_connector	compose services section
docker_service	docker_projects/trading_services/docker-compose.yml	bybit_connector	Docker Compose service: bybit_connector	service_or_observer	line 2: service bybit_connector	compose services section
docker_service	docker_projects/trading_services/docker-compose.yml	pretrade_risk_gate	Docker Compose service: pretrade_risk_gate	service_or_observer	line 30: service pretrade_risk_gate	compose services section
docker_service	docker_projects/trading_services/openclaw_bybit_control_api_v1/docker-compose.yml	openclaw_bybit_control_api_v1	Docker Compose service: openclaw_bybit_control_api_v1	service_mutating	line 4: service openclaw_bybit_control_api_v1	compose services section
fastapi_app	program_code/exchange_connectors/bybit_connector/control_api_v1/app/main.py	uvicorn app.main:app --host 0.0.0.0 --port 8000	Control API v1 HTTP service	service_mutating	app = base.app; app.include_router(...); @app.on_event('startup')	Default API target in restart_all.sh and launchd
fastapi_compat_app	program_code/exchange_connectors/bybit_connector/control_api_v1/app/main_snapshot_stable.py	uvicorn app.main_snapshot_stable:app	Compatibility API entry	service_mutating	from .main import app	Compatibility re-export only
fastapi_legacy_app	program_code/exchange_connectors/bybit_connector/control_api_v1/app/main_legacy.py	uvicorn app.main_legacy:app	Legacy Control API app	service_mutating	app = FastAPI(...)	Rollback path mentioned by app/main.py
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/ai_budget_routes.py	/api/v1/ai_budget	APIRouter router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/attribution_routes.py	(prefix dynamic/none)	APIRouter attribution_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/backtest_routes.py	/api/v1/backtest	APIRouter router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/edge_estimator_routes.py	/api/v1/edge-estimator	APIRouter router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/engine_capabilities_routes.py	(prefix dynamic/none)	APIRouter engine_capabilities_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/evolution_routes.py	/api/v1/evolution	APIRouter router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/executor_routes.py	(prefix dynamic/none)	APIRouter executor_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/experiment_routes.py	/api/v1/experiments	APIRouter router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/governance_routes.py	(prefix dynamic/none)	APIRouter governance_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/layer2_routes.py	(prefix dynamic/none)	APIRouter layer2_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/live_session_routes.py	(prefix dynamic/none)	APIRouter live_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/live_trust_routes.py	(prefix dynamic/none)	APIRouter live_trust_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/ml_routes.py	/api/v1/ml	APIRouter router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/paper_trading_routes.py	/api/v1/paper	APIRouter paper_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/phase4_routes.py	/api/v1/phase4	APIRouter phase4_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/risk_routes.py	(prefix dynamic/none)	APIRouter risk_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/scout_routes.py	(prefix dynamic/none)	APIRouter scout_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/settings_routes.py	(prefix dynamic/none)	APIRouter settings_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
